tip2015_int_mul_ident_left ,  b'unsat\n'
tip2015_nat_boring_min_idem ,  b'sat\n'
tip2015_nat_lt_asymmetric ,  b'unsat\n'
tip2015_nat_acc_alt_mul_comm ,  TIMEOUT
tip2015_int_add_inv_right ,  b'unsat\n'
tip2015_nat_acc_plus_comm ,  b'sat\n'
isaplanner_prop_06 ,  b'unsat\n'
tip2015_nat_acc_plus_same ,  b'sat\n'
tip2015_nat_boring_ge_trans ,  b'unsat\n'
tip2015_mccarthy91_M2 ,  TIMEOUT
tip2015_weird_nat_add3acc_assoc1 ,  b'sat\n'
tip2015_weird_nat_add3acc_comm12 ,  b'sat\n'
tip2015_int_mul_comm ,  b'unsat\n'
prod_prop_01 ,  b'sat\n'
tip2015_weird_nat_add3_rot ,  b'sat\n'
prod_prop_26 ,  b'sat\n'
tip2015_weird_nat_op_spec ,  TIMEOUT
tip2015_weird_nat_add3acc_rot ,  b'sat\n'
tip2015_nat_max_idem ,  b'sat\n'
tip2015_weird_nat_mul3_comm23 ,  TIMEOUT
tip2015_int_add_assoc ,  b'unknown\n'
tip2015_weird_nat_mul3_spec ,  TIMEOUT
tip2015_nat_boring_ge_antisym ,  b'unsat\n'
isaplanner_prop_34 ,  b'unsat\n'
tip2015_nat_max_assoc ,  b'unsat\n'
prod_prop_35 ,  TIMEOUT
prod_prop_13 ,  TIMEOUT
tip2015_nat_max_comm ,  b'unsat\n'
tip2015_nicomachus_theorem ,  b'sat\n'
tip2015_nat_le_ne_lt ,  b'unsat\n'
tip2015_weird_nat_add3acc_comm13 ,  b'sat\n'
isaplanner_prop_23 ,  b'unsat\n'
tip2015_weird_nat_add3_assoc3 ,  TIMEOUT
tip2015_weird_nat_mul3acc_spec ,  b'unsat\n'
tip2015_nat_lt_trans ,  b'unsat\n'
isaplanner_prop_65 ,  b'unsat\n'
tip2015_weird_nat_mul3_assoc2 ,  TIMEOUT
tip2015_weird_nat_mul3_rrot ,  TIMEOUT
tip2015_int_add_ident_left ,  b'unsat\n'
tip2015_weird_nat_add3acc_assoc2 ,  TIMEOUT
tip2015_weird_nat_mul3_comm12 ,  TIMEOUT
tip2015_nat_le_reflexive ,  b'unsat\n'
tip2015_weird_nat_mul3acc_rot ,  b'unsat\n'
tip2015_nat_min_max_abs ,  b'unsat\n'
tip2015_weird_nat_add3_spec ,  b'sat\n'
tip2015_mod_same ,  b'unsat\n'
tip2015_weird_nat_add3acc_rrot ,  b'sat\n'
prod_prop_15 ,  TIMEOUT
isaplanner_prop_25 ,  b'unsat\n'
tip2015_weird_nat_mul3acc_assoc2 ,  b'unsat\n'
tip2015_weird_nat_mul2_assoc ,  TIMEOUT
isaplanner_prop_70 ,  b'unsat\n'
isaplanner_prop_08 ,  b'unsat\n'
tip2015_nat_min_max_distrib ,  b'unsat\n'
tip2015_weird_nat_add3_comm23 ,  b'sat\n'
prod_prop_24 ,  b'sat\n'
prod_prop_34 ,  TIMEOUT
isaplanner_prop_33 ,  b'unsat\n'
isaplanner_prop_31 ,  b'unsat\n'
tip2015_nat_boring_max_min_abs ,  b'unsat\n'
isaplanner_prop_24 ,  b'unsat\n'
tip2015_nat_boring_gt_asymmetric ,  b'unsat\n'
tip2015_weird_nat_op_assoc ,  TIMEOUT
tip2015_weird_nat_add3_same ,  TIMEOUT
tip2015_weird_nat_add3acc_assoc3 ,  TIMEOUT
isaplanner_prop_54 ,  b'unsat\n'
tip2015_int_mul_assoc ,  b'unsat\n'
tip2015_nat_acc_plus_assoc ,  b'sat\n'
tip2015_weird_nat_mul3_assoc1 ,  TIMEOUT
tip2015_weird_nat_add3acc_comm23 ,  b'sat\n'
tip2015_int_mul_ident_right ,  b'unsat\n'
tip2015_weird_nat_mul3acc_comm12 ,  b'unsat\n'
tip2015_nat_alt_mul_same ,  TIMEOUT
tip2015_weird_nat_mul3_comm13 ,  TIMEOUT
tip2015_nat_boring_gt_irreflexive ,  b'unsat\n'
prod_prop_33 ,  TIMEOUT
tip2015_nat_le_antisym ,  b'unsat\n'
tip2015_nat_pow_times ,  TIMEOUT
tip2015_nat_boring_max_min_distrib ,  b'unsat\n'
tip2015_nat_pow_one ,  TIMEOUT
tip2015_nat_le_trans ,  b'unsat\n'
tip2015_int_right_distrib ,  b'unsat\n'
tip2015_nat_le_ge_eq ,  b'unsat\n'
tip2015_weird_nat_mul3acc_assoc3 ,  b'unsat\n'
tip2015_weird_nat_mul3acc_rrot ,  b'unsat\n'
tip2015_weird_nat_add3_comm12 ,  b'sat\n'
tip2015_nat_lt_ne ,  b'unsat\n'
tip2015_nat_boring_min_assoc ,  b'unsat\n'
isaplanner_prop_32 ,  b'unsat\n'
tip2015_weird_nat_mul2_comm ,  TIMEOUT
tip2015_weird_nat_mul3_assoc3 ,  TIMEOUT
tip2015_weird_nat_mul3acc_assoc1 ,  b'unsat\n'
tip2015_mccarthy91_M1 ,  TIMEOUT
isaplanner_prop_07 ,  b'unsat\n'
isaplanner_prop_10 ,  b'sat\n'
tip2015_int_add_ident_right ,  b'unsat\n'
tip2015_weird_nat_mul3_rot ,  TIMEOUT
tip2015_nat_lt_irreflexive ,  b'unsat\n'
tip2015_weird_nat_add3_assoc1 ,  TIMEOUT
tip2015_weird_nat_add3_rrot ,  b'sat\n'
isaplanner_prop_79 ,  b'unsat\n'
tip2015_nat_boring_ge_reflexive ,  b'unsat\n'
isaplanner_prop_69 ,  b'unsat\n'
tip2015_weird_nat_add3_comm13 ,  b'sat\n'
tip2015_weird_nat_op_assoc2 ,  TIMEOUT
tip2015_weird_nat_add3_assoc2 ,  b'sat\n'
tip2015_weird_nat_mul3_same ,  b'unsat\n'
prod_prop_16 ,  b'sat\n'
tip2015_nat_boring_min_comm ,  b'unsat\n'
tip2015_fermat_last ,  b'unsat\n'
tip2015_nat_pow_le_factorial ,  b'unsat\n'
tip2015_weird_nat_add3acc_spec ,  b'sat\n'
tip2015_nat_acc_alt_mul_same ,  TIMEOUT
isaplanner_prop_18 ,  b'unsat\n'
tip2015_int_left_distrib ,  b'unsat\n'
tip2015_nat_acc_alt_mul_assoc ,  TIMEOUT
isaplanner_prop_09 ,  b'unsat\n'
isaplanner_prop_22 ,  b'unsat\n'
tip2015_weird_nat_mul3acc_comm13 ,  b'unsat\n'
tip2015_weird_nat_op_comm_comm ,  TIMEOUT
tip2015_int_add_comm ,  b'unknown\n'
tip2015_int_add_inv_left ,  b'unsat\n'
isaplanner_prop_21 ,  b'unsat\n'
tip2015_nat_pow_pow ,  TIMEOUT
isaplanner_prop_17 ,  b'unsat\n'
tip2015_nat_boring_gt_trans ,  b'unsat\n'
tip2015_nat_alt_mul_comm ,  TIMEOUT
tip2015_weird_nat_mul3acc_comm23 ,  b'unsat\n'
tip2015_nat_alt_mul_assoc ,  TIMEOUT
