 tip2015_int_mul_ident_left; b'unsat\n'
 tip2015_nat_boring_min_idem; b'unsat\n'
 tip2015_nat_lt_asymmetric; b'unsat\n'
 tip2015_list_nat_PairUnpair; b'unsat\n'
 false_graph_p9; b'sat\n'
 false_regexp_deluxe_iter0; TIMEOUT
 tip2015_sort_nat_HSort2Count; b'unsat\n'
 tip2015_regexp_RecAtom; TIMEOUT
 false_productive_use_of_failure_app_inj1; b'unsat\n'
 tip2015_int_add_inv_right; b'unsat\n'
 false_graph_tp5; TIMEOUT
 prod_prop_47; b'unsat\n'
 false_graph_p31; TIMEOUT
 false_productive_use_of_failure_union_comm; b'unsat\n'
 tip2015_regexp_RecNil; b'sat\n'
 isaplanner_prop_67; b'unsat\n'
 tip2015_bin_times_comm; TIMEOUT
 tip2015_nat_boring_ge_trans; b'unsat\n'
 prod_prop_44; b'unsat\n'
 tip2015_regexp_SeqDistrPlus; TIMEOUT
 isaplanner_prop_62; b'unsat\n'
 tip2015_list_weird_is_normal; b'unsat\n'
 prod_prop_11; b'unsat\n'
 isaplanner_prop_60; b'unsat\n'
 isaplanner_prop_29; b'unsat\n'
 tip2015_sort_MSortBU2Count; b'unsat\n'
 tip2015_bin_plus_comm; TIMEOUT
 tip2015_sort_NStoogeSort2IsSort; b'unsat\n'
 tip2015_int_mul_comm; b'unsat\n'
 isaplanner_prop_85; b'unsat\n'
 tip2015_escape_NoSpecial; TIMEOUT
 prod_prop_40; b'unsat\n'
 false_regexp_find6; TIMEOUT
 tip2015_sort_BSortIsSort; b'unsat\n'
 tip2015_nat_max_idem; b'unsat\n'
 tip2015_list_PairUnpair; b'sat\n'
 tip2015_relaxedprefix_correct; TIMEOUT
 isaplanner_prop_47; b'unsat\n'
 tip2015_regexp_Star; TIMEOUT
 grammars_simp_expr_unambig3; TIMEOUT
 tip2015_int_add_assoc; b'unsat\n'
 false_regexp_bad_assoc; TIMEOUT
 tip2015_nat_boring_ge_antisym; b'unsat\n'
 isaplanner_prop_81; b'unsat\n'
 false_graph_btp5; TIMEOUT
 isaplanner_prop_13; b'unsat\n'
 isaplanner_prop_34; b'unsat\n'
 false_queue2_QueueL; TIMEOUT
 isaplanner_prop_61; b'unsat\n'
 prod_prop_22; TIMEOUT
 tip2015_nat_max_assoc; b'unsat\n'
 false_regexp_deluxe_switcheroo; TIMEOUT
 tip2015_sort_StoogeSortIsSort; b'unsat\n'
 prod_prop_50; b'unsat\n'
 false_productive_use_of_failure_rot_inj1; b'unsat\n'
 false_graph_bt4; TIMEOUT
 tip2015_sort_nat_HSort2IsSort; b'unsat\n'
 tip2015_sort_nat_StoogeSort2Sorts; b'unsat\n'
 grammars_simp_expr_unambig4; TIMEOUT
 prod_prop_39; b'unsat\n'
 false_regexp_find5; TIMEOUT
 isaplanner_prop_82; b'unsat\n'
 tip2015_bin_nat_times_assoc; TIMEOUT
 tip2015_sort_NStoogeSort2Count; b'unsat\n'
 tip2015_nat_max_comm; b'unsat\n'
 false_regexp_switcheroo; TIMEOUT
 tip2015_sort_NStoogeSortCount; b'unsat\n'
 prod_prop_29; b'unsat\n'
 tip2015_bin_s; b'unsat\n'
 grammars_packrat_unambigPackrat; TIMEOUT
 tip2015_bin_nat_times_comm; TIMEOUT
 false_hotel_key_safe2; TIMEOUT
