tip2015_nat_acc_alt_mul_comm, TIMEOUT
tip2015_nat_acc_plus_comm, b'sat\n'
isaplanner_prop_06, b'unsat\n'
tip2015_nat_acc_plus_same, b'sat\n'
tip2015_mccarthy91_M2, TIMEOUT
tip2015_weird_nat_add3acc_assoc1, TIMEOUT
tip2015_weird_nat_add3acc_comm12, TIMEOUT
prod_prop_01, b'sat\n'
tip2015_weird_nat_add3_rot, b'sat\n'
prod_prop_26, TIMEOUT
tip2015_weird_nat_op_spec, TIMEOUT
tip2015_weird_nat_add3acc_rot, TIMEOUT
tip2015_weird_nat_mul3_comm23, TIMEOUT
tip2015_weird_nat_mul3_spec, TIMEOUT
prod_prop_35, TIMEOUT
prod_prop_13, TIMEOUT
tip2015_nicomachus_theorem, b'sat\n'
tip2015_weird_nat_add3acc_comm13, b'sat\n'
isaplanner_prop_23, b'unsat\n'
tip2015_weird_nat_add3_assoc3, TIMEOUT
tip2015_weird_nat_mul3acc_spec, b'unsat\n'
tip2015_weird_nat_mul3_assoc2, TIMEOUT
tip2015_weird_nat_mul3_rrot, TIMEOUT
tip2015_weird_nat_add3acc_assoc2, TIMEOUT
tip2015_weird_nat_mul3_comm12, TIMEOUT
tip2015_weird_nat_mul3acc_rot, b'unsat\n'
tip2015_weird_nat_add3_spec, TIMEOUT
tip2015_weird_nat_add3acc_rrot, TIMEOUT
prod_prop_15, TIMEOUT
tip2015_weird_nat_mul3acc_assoc2, b'unsat\n'
tip2015_weird_nat_mul2_assoc, TIMEOUT
isaplanner_prop_08, b'unsat\n'
tip2015_weird_nat_add3_comm23, b'sat\n'
prod_prop_34, TIMEOUT
isaplanner_prop_31, b'unsat\n'
tip2015_weird_nat_op_assoc, TIMEOUT
tip2015_weird_nat_add3_same, TIMEOUT
tip2015_weird_nat_add3acc_assoc3, TIMEOUT
isaplanner_prop_54, b'unsat\n'
tip2015_nat_acc_plus_assoc, b'sat\n'
tip2015_weird_nat_mul3_assoc1, TIMEOUT
tip2015_weird_nat_add3acc_comm23, TIMEOUT
tip2015_weird_nat_mul3acc_comm12, b'unsat\n'
tip2015_nat_alt_mul_same, TIMEOUT
tip2015_weird_nat_mul3_comm13, TIMEOUT
prod_prop_33, TIMEOUT
tip2015_nat_pow_times, TIMEOUT
tip2015_nat_pow_one, TIMEOUT
tip2015_weird_nat_mul3acc_assoc3, TIMEOUT
tip2015_weird_nat_mul3acc_rrot, b'unsat\n'
tip2015_weird_nat_add3_comm12, b'sat\n'
isaplanner_prop_32, b'unsat\n'
tip2015_weird_nat_mul2_comm, TIMEOUT
tip2015_weird_nat_mul3_assoc3, TIMEOUT
tip2015_weird_nat_mul3acc_assoc1, b'unsat\n'
tip2015_mccarthy91_M1, TIMEOUT
isaplanner_prop_07, b'unsat\n'
isaplanner_prop_10, b'sat\n'
tip2015_weird_nat_mul3_rot, TIMEOUT
tip2015_weird_nat_add3_assoc1, TIMEOUT
tip2015_weird_nat_add3_rrot, TIMEOUT
isaplanner_prop_79, b'unsat\n'
tip2015_weird_nat_add3_comm13, TIMEOUT
tip2015_weird_nat_op_assoc2, TIMEOUT
tip2015_weird_nat_add3_assoc2, TIMEOUT
tip2015_weird_nat_mul3_same, b'unsat\n'
tip2015_fermat_last, b'unsat\n'
tip2015_weird_nat_add3acc_spec, TIMEOUT
tip2015_nat_acc_alt_mul_same, TIMEOUT
tip2015_nat_acc_alt_mul_assoc, TIMEOUT
isaplanner_prop_09, b'unsat\n'
isaplanner_prop_22, b'unsat\n'
tip2015_weird_nat_mul3acc_comm13, b'unsat\n'
tip2015_weird_nat_op_comm_comm, TIMEOUT
tip2015_nat_pow_pow, TIMEOUT
tip2015_nat_alt_mul_comm, TIMEOUT
tip2015_weird_nat_mul3acc_comm23, b'unsat\n'
tip2015_nat_alt_mul_assoc, TIMEOUT
