benchmark,pure-adt,adt-lia
false_regexp_same,TIMEOUT,TIMEOUT
tip2015_bin_plus,TIMEOUT,TIMEOUT
tip2015_sort_nat_HSort2Sorts,TIMEOUT,TIMEOUT
tip2015_sort_NStoogeSort2Count,TIMEOUT,TIMEOUT
tip2015_sort_nat_TSortIsSort,TIMEOUT,TIMEOUT
tip2015_sort_HSort2Sorts,TIMEOUT,TIMEOUT
tip2015_sort_StoogeSortSorts,TIMEOUT,TIMEOUT
grammars_simp_expr_unambig1,TIMEOUT,TIMEOUT
tip2015_sort_NStoogeSort2Sorts,TIMEOUT,TIMEOUT
false_productive_use_of_failure_app_inj1,TIMEOUT,TIMEOUT
prod_prop_31,TIMEOUT,TIMEOUT
prod_prop_39,TIMEOUT,TIMEOUT
isaplanner_prop_01,TIMEOUT,TIMEOUT
tip2015_sort_StoogeSort2Count,TIMEOUT,TIMEOUT
prod_prop_22,TIMEOUT,TIMEOUT
false_graph_bt3,TIMEOUT,TIMEOUT
isaplanner_prop_55,TIMEOUT,TIMEOUT
tip2015_bin_plus_comm,TIMEOUT,TIMEOUT
false_regexp_deluxe_iter0,TIMEOUT,TIMEOUT
false_regexp_deluxe_switcheroo,TIMEOUT,TIMEOUT
false_regexp_deluxe_Conj,TIMEOUT,TIMEOUT
tip2015_sort_nat_MSortBU2Count,TIMEOUT,TIMEOUT
false_regexp_deluxe_FromToConj_difficult,TIMEOUT,TIMEOUT
tip2015_sort_NStoogeSortIsSort,TIMEOUT,TIMEOUT
isaplanner_prop_02,TIMEOUT,TIMEOUT
prod_prop_46,TIMEOUT,TIMEOUT
false_graph_p31,TIMEOUT,TIMEOUT
tip2015_bin_distrib,TIMEOUT,TIMEOUT
isaplanner_prop_04,TIMEOUT,TIMEOUT
false_graph_tp5,TIMEOUT,TIMEOUT
isaplanner_prop_63,TIMEOUT,TIMEOUT
tip2015_tree_Flatten3,TIMEOUT,TIMEOUT
false_graph_t3,TIMEOUT,TIMEOUT
isaplanner_prop_40,SAT,SAT
tip2015_sort_nat_ISortSorts,TIMEOUT,TIMEOUT
false_queue2_QueueL,TIMEOUT,UNSAT
false_regexp_deluxe_Conj0,TIMEOUT,TIMEOUT
tip2015_sort_MSortTDIsSort,TIMEOUT,TIMEOUT
false_regexp_find7,TIMEOUT,TIMEOUT
isaplanner_prop_45,TIMEOUT,TIMEOUT
false_regexp_deluxe_star_plus_easy,TIMEOUT,TIMEOUT
tip2015_regexp_RecAtom,TIMEOUT,TIMEOUT
false_graph_d7,TIMEOUT,SAT
prod_prop_21,TIMEOUT,TIMEOUT
isaplanner_prop_85,TIMEOUT,TIMEOUT
tip2015_relaxedprefix_is_prefix_2,TIMEOUT,TIMEOUT
false_productive_use_of_failure_rot_inj0,UNSAT,UNSAT
tip2015_sort_HSort2IsSort,TIMEOUT,TIMEOUT
false_productive_use_of_failure_drop_inj2,UNSAT,UNSAT
false_show_bin_lists_assoc,TIMEOUT,TIMEOUT
tip2015_sort_nat_HSortIsSort,TIMEOUT,TIMEOUT
false_productive_use_of_failure_drop_invol,UNSAT,UNSAT
tip2015_tree_Flatten1,TIMEOUT,TIMEOUT
tip2015_sort_BubSortCount,TIMEOUT,TIMEOUT
tip2015_list_nat_PairUnpair,TIMEOUT,TIMEOUT
isaplanner_prop_58,TIMEOUT,TIMEOUT
prod_prop_23,TIMEOUT,TIMEOUT
false_productive_use_of_failure_drop_idem,UNSAT,UNSAT
tip2015_propositional_AndCommutative,TIMEOUT,UNKNOWN
isaplanner_prop_27,TIMEOUT,TIMEOUT
isaplanner_prop_38,TIMEOUT,TIMEOUT
tip2015_propositional_Sound,TIMEOUT,TIMEOUT
tip2015_sort_nat_NStoogeSortSorts,TIMEOUT,TIMEOUT
false_imperative_Apa,TIMEOUT,UNKNOWN
prod_prop_32,TIMEOUT,TIMEOUT
false_regexp_switcheroo,TIMEOUT,TIMEOUT
tip2015_bin_times_comm,TIMEOUT,TIMEOUT
tip2015_regexp_RecNil,SAT,SAT
false_productive_use_of_failure_rot_bogus,UNSAT,UNSAT
isaplanner_prop_42,TIMEOUT,TIMEOUT
false_regexp_star_plus_easy,TIMEOUT,TIMEOUT
false_queue2_QueueR,TIMEOUT,UNSAT
tip2015_sort_HSortSorts,TIMEOUT,TIMEOUT
false_productive_use_of_failure_app_inj2,TIMEOUT,TIMEOUT
tip2015_sort_nat_BSortCount,TIMEOUT,SAT
tip2015_sort_HSortIsSort,TIMEOUT,TIMEOUT
tip2015_regexp_PlusAssociative,TIMEOUT,TIMEOUT
false_queue3_QueueR,TIMEOUT,UNSAT
isaplanner_prop_47,TIMEOUT,TIMEOUT
isaplanner_prop_75,TIMEOUT,TIMEOUT
false_regexp_star_plus_easy_1,TIMEOUT,TIMEOUT
tip2015_sort_nat_MSortTDCount,TIMEOUT,TIMEOUT
isaplanner_prop_81,TIMEOUT,TIMEOUT
tip2015_propositional_Okay,TIMEOUT,TIMEOUT
false_productive_use_of_failure_rot_inj00,TIMEOUT,TIMEOUT
tip2015_sort_nat_NStoogeSort2Count,TIMEOUT,TIMEOUT
prod_prop_45,TIMEOUT,TIMEOUT
isaplanner_prop_03,TIMEOUT,TIMEOUT
false_productive_use_of_failure_union_comm,TIMEOUT,UNSAT
tip2015_list_nat_append_inj_1,TIMEOUT,TIMEOUT
tip2015_regexp_PlusCommutative,TIMEOUT,TIMEOUT
false_hotel_key_safe0,TIMEOUT,TIMEOUT
prod_prop_47,TIMEOUT,TIMEOUT
isaplanner_prop_67,TIMEOUT,TIMEOUT
false_productive_use_of_failure_union_idem,TIMEOUT,TIMEOUT
false_regexp_star_plus_2,TIMEOUT,TIMEOUT
isaplanner_prop_68,TIMEOUT,TIMEOUT
false_mergesort_merge_comm,TIMEOUT,UNSAT
false_regexp_koen,TIMEOUT,TIMEOUT
tip2015_bin_nat_s,TIMEOUT,TIMEOUT
isaplanner_prop_57,TIMEOUT,TIMEOUT
tip2015_sort_StoogeSort2Sorts,TIMEOUT,TIMEOUT
grammars_simp_expr_unambig3,TIMEOUT,TIMEOUT
prod_prop_17,TIMEOUT,TIMEOUT
tip2015_bin_nat_plus_assoc,TIMEOUT,TIMEOUT
prod_prop_14,TIMEOUT,TIMEOUT
tip2015_sort_nat_StoogeSort2Count,TIMEOUT,TIMEOUT
false_regexp_deluxe_koen,TIMEOUT,TIMEOUT
tip2015_sort_nat_BSortIsSort,TIMEOUT,SAT
tip2015_sort_nat_NStoogeSort2Sorts,TIMEOUT,TIMEOUT
grammars_packrat_unambigPackrat,TIMEOUT,TIMEOUT
isaplanner_prop_62,TIMEOUT,TIMEOUT
false_regexp_kfind1,TIMEOUT,TIMEOUT
tip2015_escape_NoSpecial,TIMEOUT,TIMEOUT
tip2015_sort_nat_MSortTDSorts,TIMEOUT,TIMEOUT
false_regexp_deluxe_star_seq,TIMEOUT,TIMEOUT
false_hotel_key_safe1,TIMEOUT,TIMEOUT
false_graph_p5,TIMEOUT,TIMEOUT
isaplanner_prop_11,TIMEOUT,TIMEOUT
tip2015_sort_ISortCount,TIMEOUT,TIMEOUT
